Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_top.uut.bram.inst.\native_mem_module.blk_mem_gen_v8_4_7_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time: 0, State: xxx, Next State: 000, Ena: x, Wea: x, Addra:     x, Douta: 000000, Done: x, Done_in: x, Red: xx, Green: xx, Blue: xx, Red_o: xx, Green_o: xx, Blue_o: xx, Done_out: x
Time: 735, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    17, Douta: 000000, Done: 0, Done_in: 1, Red: 01, Green: 01, Blue: 01, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 745, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:    18, Douta: 000000, Done: 0, Done_in: 0, Red: 01, Green: 01, Blue: 01, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 755, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:    18, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 765, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:    18, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 775, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    18, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 785, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:    19, Douta: 000000, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 795, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:    19, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 805, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:    19, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 815, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    19, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 825, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:    20, Douta: 000000, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 835, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:    20, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 845, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:    20, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 855, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    20, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 865, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:    21, Douta: 000000, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 875, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:    21, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 885, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:    21, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 895, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    21, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 905, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:    22, Douta: 000000, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 915, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:    22, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 925, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:    22, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
